"","1","2","3","1|2","1|3","2|1","2|3","3|1","3|2","","",""
"result.149",0.88787125,0.67208725,0.0404695,0.959353954618364,0.401622212089532,0.922640400442845,0.791364627684816,0.0784969455084843,0.0268038664822019,86,37.3346018082135,70.1088667275838
"result.150",0.353656,0.05970025,0.7897195,0.163811070508962,0.800314610936014,0.023854280865828,0.0481812406230735,0.884104947302306,0.896198737101237,53,3,56.8171464514621
"result.151",0.8616475,0.2023075,0.07768225,0.771463156599343,0.486127962206141,0.453011285654525,0.304138574553639,0.172167206304742,0.113717723769267,80,37.3346018082135,68.1219300329402
"result.152",0.9715375,0.00275725,0.18457525,0.737906694641987,0.981120310684406,0.0263675163214923,0.00917300682369265,0.872318439726838,0.254923540132724,74,29.3017432683338,67.3128317018797
"result.153",0.10765225,0.9955135,0.8047045,0.478321360355047,0.220531989180001,0.986497383135157,0.988607388306043,0.420361920406366,0.656417023219697,86,26.7250769876881,69.3859250263678
"result.154",0.48427525,0.22453525,0.5739355,0.418684643975739,0.629619483795263,0.231254493403914,0.252954702590594,0.579337852202002,0.576286718781773,79,3,69.1399198667334
"result.155",0.60415525,0.24051925,0.260749,0.399943666556622,0.338230164169665,0.300349947477486,0.330120055957109,0.217711978484761,0.300490187256854,86,35.6971403020575,69.738760326601
"result.156",0.86589325,0.381628,0.1773325,0.892699683178217,0.711588331128547,0.712335640247958,0.517986941624776,0.463074664352808,0.170793476750962,74,34.9063462346101,65.8920933743042
"result.157",0.3281815,0.16859125,0.86988925,0.293576224851682,0.842213432351023,0.161969016485249,0.210016164364784,0.912731078515878,0.870363900518225,76,3,68.1016484418868
"result.158",0.73102825,0.542467,0.191818,0.740844198426328,0.337320799942596,0.636380054985769,0.632964053518385,0.207284100514298,0.188902388398683,51,3,57.0494068800164
"result.159",0.7507585,0.927082,0.14611375,0.906067883762522,0.364675773577556,0.956329980146985,0.939017231620579,0.18134079510918,0.0867706414693347,75,10.362538493844,68.0783150774665
"result.160",0.9555535,0.34691275,0.02573425,0.958288564909111,0.495521769507107,0.574057268398521,0.39788951814342,0.174608357328397,0.025113146305589,76,9,68.8350818528434
"result.161",0.22353625,0.77248675,0.45080875,0.3012898650658,0.0890861038394132,0.65774654450625,0.797267842628981,0.115030686208139,0.378349644899782,83,24.5438077407661,68.8941938984417
"result.162",0.885124,0.4570525,0.4640455,0.877524258289978,0.983309017686054,0.675794370439231,0.551224133968295,0.965286433896465,0.487675866181811,72,12,67.3343503563681
"result.163",0.96679225,0.012997,0.1353745,0.87855687884201,0.956869386967216,0.0313657468672347,0.0131353702918296,0.857331118360434,0.238141829638764,52,6,58.8714224971529
"result.164",0.21404575,0.24801175,0.867142,0.18123430883397,0.690839706819498,0.195084248447359,0.161282852128601,0.794740552745689,0.860604830880368,67,3,64.435613262174
"result.165",0.88687225,0.48427525,0.15985,0.891113583907103,0.767652973536608,0.762359361236592,0.53904824572764,0.535690520484249,0.158358341289028,68,13.362538493844,65.7975745865038
"result.166",0.66459475,0.01624375,0.681328,0.654534546751192,0.930331524497791,0.0168687340594556,0.0296704094561855,0.949929178162755,0.612935882849238,74,3,67.9790234532763
